id,electoral_cycle,source,name,sex,gov_support,exact_seat,committee_membership,party_hierarchy,seniority,g/o_type,seat_type,g/o_change_day,g/o_change_month,g/o_change_year,g/o_change2_day,g/o_change2_month,g/o_change2_year,cm_from_day,cm_from_month,cm_from_year,cm_to_day,cm_to_month,cm_to_year,ph_from_day,ph_from_month,ph_from_year,ph_to_day,ph_to_month,ph_to_year
a182_1990_003_19921020_0,1990-1994,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=nwRGXwbJ&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Da182%26p_stilus%3D%26p_head%3D,abraham_tibor,m,0,pest,3,99995,1,1,rl,9999,9999,9999,9999,9999,9999,20,10,1992,27,6,1994,99995,99995,99995,99995,99995,99995
a302_1990_001_19900503_0,1990-1994,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=nwRGXwbJ&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Da302%26p_stilus%3D%26p_head%3D,ader_janos,m,0,fidesz,1,99995,1,1,pl,9999,9999,9999,9999,9999,9999,3,5,1990,24,3,1992,99995,99995,99995,99995,99995,99995
a302_1990_009_19920324_0,1990-1994,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=nwRGXwbJ&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Da302%26p_stilus%3D%26p_head%3D,ader_janos,m,0,fidesz,9,99995,1,1,pl,9999,9999,9999,9999,9999,9999,24,3,1992,8,4,1992,99995,99995,99995,99995,99995,99995
a302_1990_009_19920408_0,1990-1994,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=nwRGXwbJ&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Da302%26p_stilus%3D%26p_head%3D,ader_janos,m,0,fidesz,9,99995,1,1,pl,9999,9999,9999,9999,9999,9999,8,4,1992,27,6,1994,99995,99995,99995,99995,99995,99995
a302_1990_013_19900503_0,1990-1994,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=nwRGXwbJ&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Da302%26p_stilus%3D%26p_head%3D,ader_janos,m,0,fidesz,13,99995,1,1,pl,9999,9999,9999,9999,9999,9999,3,5,1990,27,6,1994,99995,99995,99995,99995,99995,99995
a302_1990_017_19901229_0,1990-1994,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=nwRGXwbJ&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Da302%26p_stilus%3D%26p_head%3D,ader_janos,m,0,fidesz,17,99995,1,1,pl,9999,9999,9999,9999,9999,9999,29,12,1990,14,10,1992,99995,99995,99995,99995,99995,99995
a069_1990_007_19930323_0,1990-1994,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=OevcgxK1&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Da069%26p_stilus%3D%26p_head%3D,andrasfalvy_bertalan,m,1,baranya_1.,7,99995,1,0,smd,9999,9999,9999,9999,9999,9999,23,3,1993,20,9,1993,99995,99995,99995,99995,99995,99995
a069_1990_008_19930921_0,1990-1994,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=OevcgxK1&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Da069%26p_stilus%3D%26p_head%3D,andrasfalvy_bertalan,m,1,baranya_1.,8,99995,1,0,smd,9999,9999,9999,9999,9999,9999,21,9,1993,27,6,1994,99995,99995,99995,99995,99995,99995
a226_1990_999_99999999_0,1990-1994,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=nwRGXwbJ&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Da226%26p_stilus%3D%26p_head%3D,andriska_geza,m,0,bacs-kiskun_7.,99995,99995,1,1,smd,9999,9999,9999,9999,9999,9999,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995
a118_1990_004_19900503_0,1990-1994,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=nwRGXwbJ&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE?xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE?xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Da118%26p_stilus%3D%26p_head%3D,annus_jozsef,m,0,mszp,4,99995,1,1,pl,9999,9999,9999,9999,9999,9999,3,5,1990,27,6,1994,99995,99995,99995,99995,99995,99995
a072_1990_999_99999999_0,1990-1994,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=nwRGXwbJ&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE?xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE?xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Da072%26p_stilus%3D%26p_head%3D,antall_jozsef,m,1,budapest,99995,99995,1,0,rl,9999,9999,9999,9999,9999,9999,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995
